"","gene.symbol","cell.type","gene.weight","ensembl.id"
"366","P2RY12","4T",0.0404224418563716,"ENSG00000169313"
"367","PARM1","4T",0.0677015236586639,"ENSG00000169116"
"368","PDK4","4T",0.0319488034581966,"ENSG00000004799"
"369","PID1","4T",0.0544680836355206,"ENSG00000153823"
"370","PILRA","4T",0.0597882184029332,"ENSG00000085514"
"371","PLA2G7","4T",0.068416039934714,"ENSG00000146070"
"372","PLEK","4T",0.0642421334109951,"ENSG00000115956"
"373","PLXDC2","4T",0.0443202883817135,"ENSG00000120594"
"374","PMFBP1","4T",0.0284355641594414,"ENSG00000118557"
"375","RAB31","4T",0.035845020848928,"ENSG00000168461"
"376","RAB32","4T",0.0633847767199631,"ENSG00000118508"
"377","SERPINA1","4T",0.0457298298640439,"ENSG00000197249"
"378","SGMS2","4T",0.05595027244135,"ENSG00000164023"
"379","SIGLEC12","4T",0.0518233126865622,"ENSG00000254521"
"380","SIRPA","4T",0.0585354368300312,"ENSG00000198053"
"381","SIRPB2","4T",0.0368153799894187,"ENSG00000196209"
"382","SLC11A1","4T",0.0590378803933137,"ENSG00000018280"
"383","SLC6A12","4T",0.0649416530357355,"ENSG00000111181"
"384","SPATC1","4T",0.0704809747030076,"ENSG00000186583"
"385","SUCNR1","4T",0.0656221851289723,"ENSG00000198829"
"386","SYK","4T",0.0323983686879549,"ENSG00000165025"
"387","SYNE1","4T",0.0579105839129954,"ENSG00000131018"
"388","TBC1D9","4T",0.0520551403777307,"ENSG00000109436"
"389","TENM4","4T",0.0469509476187754,"ENSG00000149256"
"390","TLR4","4T",0.0453334268738715,"ENSG00000136869"
"391","TNFAIP2","4T",0.0374527945872023,"ENSG00000185215"
"392","TREM1","4T",0.0397061829202884,"ENSG00000124731"
"393","VWA3B","4T",0.0717274743987099,"ENSG00000168658"
"394","ZNF608","4T",0.0392592100388362,"ENSG00000168916"
"395","ZNF804A","4T",0.0260021487865348,"ENSG00000170396"
"396","PRSS23","4T",0.0658718347916971,"ENSG00000150687"
"397","LILRB1","4T",0.0519311999502063,"ENSG00000104972"
"398","NETO1","4T",0.0659227275326901,"ENSG00000166342"
"399","SLITRK4","4T",0.031919511662736,"ENSG00000179542"
"400","ADGRL3","4T",0.0454257813491758,"ENSG00000150471"
"401","ACTN1","B",0.0909215309610151,"ENSG00000072110"
"402","ANXA1","B",0.0989789193720934,"ENSG00000135046"
"403","AQP9","B",0.109901664700504,"ENSG00000103569"
"404","BCL11B","B",0.082465521736853,"ENSG00000127152"
"405","BRDT","B",0.138069581813741,"ENSG00000137948"
"407","CD2","B",0.104722918492234,"ENSG00000116824"
"408","CD3D","B",0.1131842391495,"ENSG00000167286"
"409","CD3E","B",0.133016145435648,"ENSG00000198851"
"410","CD93","B",0.0782239824678008,"ENSG00000125810"
"411","CEBPD","B",0.135711798809038,"ENSG00000221869"
"412","CTLA4","B",0.0796258860594495,"ENSG00000163599"
"413","CTSL","B",0.0541367121537815,"ENSG00000135047"
"414","DOCK5","B",0.0786427295453055,"ENSG00000147459"
"415","FOSL2","B",0.103329324009052,"ENSG00000075426"
"416","GATA3-AS1","B",0.122946964535046,"ENSG00000197308"
"417","GIMAP4","B",0.114007618088034,"ENSG00000133574"
"418","ICOS","B",0.0966882877071604,"ENSG00000163600"
"419","ID2","B",0.13116556102493,"ENSG00000115738"
"420","IL7R","B",0.121778351363288,"ENSG00000168685"
"421","ITK","B",0.107595886193339,"ENSG00000113263"
"422","LINC00861","B",0.0703188998441678,"ENSG00000245164"
"423","LINC01550","B",0.0917753233624882,"ENSG00000246223"
"425","PCSK5","B",0.0592315754021338,"ENSG00000099139"
"426","PLD1","B",0.10582197799552,"ENSG00000075651"
"427","PLEKHG3","B",0.130786228329993,"ENSG00000126822"
"428","PRAM1","B",0.0654499379110727,"ENSG00000133246"
"429","SIGLEC9","B",0.0562056887016031,"ENSG00000129450"
"430","SLCO3A1","B",0.104542801349688,"ENSG00000176463"
"431","SPATA13-AS1","B",0.127923319443538,"ENSG00000227213"
"432","THBS1","B",0.101761982306678,"ENSG00000137801"
"433","THEMIS","B",0.116604987887222,"ENSG00000172673"
"434","TMEM45B","B",0.136370672965828,"ENSG00000151715"
"435","TRAT1","B",0.0928485816545621,"ENSG00000163519"
"436","YES1","B",0.110611382446358,"ENSG00000176105"
"437","THBD","B",0.0803838388046094,"ENSG00000178726"
"438","MAL","B",0.109450015679974,"ENSG00000172005"
"439","IFNL1","B",0.131074818819934,"ENSG00000182393"
"440","GZMA","B",0.11018013068004,"ENSG00000145649"
"441","RAB32","B",0.0753236709460264,"ENSG00000118508"
"442","DAPK1","B",0.091938816159729,"ENSG00000196730"
"443","RASGRF2","B",0.0834480238250718,"ENSG00000113319"
"444","OR52W1","B",0.0783274220228746,"ENSG00000175485"
"445","MAFB","B",0.0780443872321927,"ENSG00000204103"
"446","ISM1","B",0.108896379954822,"ENSG00000101230"
