"","gene.symbol","cell.type","gene.weight","ensembl.id"
"442","KLKP1","B",14.8059774580399,"ENSG00000290915"
"443","LAMC1","B",9.28229780397441,"ENSG00000135862"
"444","LARGE-AS1","B",14.4140220016461,"ENSG00000224973"
"445","LILRB1","B",8.58112588663191,"ENSG00000104972"
"446","LINC00336","B",8.7268703544167,"ENSG00000197251"
"447","LINC00494","B",20.6579823230061,"ENSG00000235621"
"448","LINC00634","B",11.2905190021334,NA
"449","LINC00643","B",9.80870017681253,NA
"450","LINC00926","B",40.927594892974,"ENSG00000247982"
"451","LINC01013","B",12.6019132370629,"ENSG00000228495"
"452","LOC100132078","B",19.7311340932796,"ENSG00000255428"
"453","LYVE1","B",9.34661322541715,"ENSG00000133800"
"454","MAP2","B",8.76999059531595,"ENSG00000078018"
"455","MARCKS","B",9.82871930216028,"ENSG00000277443"
"456","MGAT5","B",16.4359735646999,"ENSG00000152127"
"457","MIR339","B",14.5199372564378,"ENSG00000199023"
"458","MIR4464","B",15.2070011071387,"ENSG00000266760"
"459","MKLN1","B",17.7016032653993,"ENSG00000128585"
"460","MOXD1","B",10.4829261045894,"ENSG00000079931"
"461","MS4A1","B",38.0604351621138,"ENSG00000156738"
"462","MYO3A","B",9.06475237276181,"ENSG00000095777"
"463","NETO1","B",56.2792267438776,"ENSG00000166342"
"464","NIPA2","B",10.5396213585414,"ENSG00000140157"
"465","NIPAL4","B",14.6837112288135,"ENSG00000172548"
"466","NIPSNAP3B","B",9.99936337069935,"ENSG00000165028"
"467","OR6V1","B",16.20825010183,"ENSG00000225781"
"468","P2RY14","B",9.98279787288433,"ENSG00000174944"
"469","PARM1","B",10.5338326303993,"ENSG00000169116"
"470","PAX5","B",15.612728381109,"ENSG00000196092"
"471","PDLIM1","B",9.99727346453601,"ENSG00000107438"
"472","PLEKHG1","B",9.71515557553359,"ENSG00000120278"
"473","PRCD","B",12.602906151005,"ENSG00000214140"
"474","RGS7","B",11.6678721284384,"ENSG00000182901"
"475","SEMA3D","B",10.4095702648225,"ENSG00000153993"
"476","SHISA8","B",10.4102160265392,"ENSG00000234965"
"477","SLC26A4","B",8.84733311574191,"ENSG00000091137"
"478","SLC2A6","B",9.47637006731449,"ENSG00000160326"
"479","SLC38A11","B",10.5281005462867,"ENSG00000169507"
"480","SLC6A16","B",20.2973066150386,"ENSG00000063127"
"481","SLCO5A1","B",15.1122920087837,"ENSG00000137571"
"482","SNX22","B",11.4548613311153,"ENSG00000157734"
"483","SOX5","B",11.2839638320709,"ENSG00000134532"
"484","SPIB","B",13.4574069204653,"ENSG00000269404"
"485","ST18","B",18.548530077688,"ENSG00000147488"
"486","SYN3","B",15.7568230711629,"ENSG00000185666"
"487","SYT1","B",43.3658321177646,"ENSG00000067715"
"488","TAL2","B",14.7232344003724,"ENSG00000186051"
"489","TAS2R39","B",16.4570166129674,"ENSG00000236398"
"490","TCL1A","B",10.0923119295923,"ENSG00000100721"
"491","TCL1B","B",17.7748120212835,"ENSG00000213231"
"492","TCL6","B",11.5630403800518,NA
"493","TEAD2","B",10.431203821216,"ENSG00000074219"
"494","TNFRSF13B","B",9.11688374600134,"ENSG00000240505"
"495","TNFRSF13C","B",20.224804145532,"ENSG00000159958"
"496","TPO","B",11.59955515404,"ENSG00000115705"
"497","UGT8","B",55.3311959896972,"ENSG00000174607"
"498","WDFY4","B",16.8594796726128,"ENSG00000128815"
"499","ZNF608","B",22.6781270896159,"ENSG00000168916"
"500","ZNF70","B",15.6907225585977,"ENSG00000187792"
