"","gene.symbol","cell.type","gene.weight","ensembl.id"
"125","VSX1","8T",2.22351933285077,"ENSG00000100987"
"126","FAM192A","8T",2.25579625857256,NA
"127","C16orf58","8T",1.91407190137127,NA
"128","VAC14","8T",1.99731660784065,"ENSG00000103043"
"129","PUDP","8T",2.08198003374553,"ENSG00000130021"
"130","USP41","8T",3.12861661492266,NA
"131","PPP1R8","8T",2.05492294254359,"ENSG00000117751"
"132","ZP1","8T",1.94425709544355,"ENSG00000149506"
"133","SIRPG","8T",2.49724378226955,"ENSG00000089012"
"134","LINC01420","8T",2.35762142078444,NA
"135","CAPSL","8T",2.08763954525321,"ENSG00000152611"
"136","SLC2A7","8T",2.89183179105932,"ENSG00000197241"
"137","CREBL2","8T",1.93979769173055,"ENSG00000111269"
"138","WDR60","8T",2.30675710544898,NA
"139","IL7R","8T",2.00889154166133,"ENSG00000168685"
"140","ZCCHC12","8T",1.98322454238389,"ENSG00000174460"
"141","TDRKH","8T",2.43198590700677,"ENSG00000182134"
"142","DOLPP1","8T",2.11170745048433,"ENSG00000167130"
"143","RASGEF1C","8T",2.38387287855896,"ENSG00000146090"
"144","ENPP4","8T",1.92996876824424,"ENSG00000001561"
"145","ST3GAL1","8T",2.32334290469268,"ENSG00000008513"
"146","BBS7","8T",3.22587124001097,"ENSG00000138686"
"147","RAB36","8T",2.04898161246638,"ENSG00000100228"
"148","ZDHHC23","8T",2.09747128521362,"ENSG00000184307"
"149","WBP4","8T",2.08846420941057,"ENSG00000120688"
"150","CNTNAP3B","8T",2.18486917418874,"ENSG00000154529"
"151","EXO1","8T",3.72228417442155,"ENSG00000174371"
"152","IFITM5","8T",2.22248456289965,"ENSG00000206013"
"153","AP000866.1","8T",2.39841468694135,NA
"154","KLHL6","8T",1.97748784299389,"ENSG00000172578"
"155","OR5H2","8T",2.28065993461119,"ENSG00000197938"
"156","MSANTD2","8T",2.10773968383886,"ENSG00000120458"
"157","PANX2","8T",2.29578448951404,"ENSG00000073150"
"158","DOK2","8T",2.02522423701027,"ENSG00000147443"
"159","L1TD1","8T",2.01273538577107,"ENSG00000240563"
"160","CNOT11","8T",1.92513500707036,"ENSG00000158435"
"161","STYK1","8T",2.32735316245413,"ENSG00000060140"
"162","CTDNEP1","8T",2.18208654826836,"ENSG00000175826"
"163","ZNF117","8T",3.59343191943741,"ENSG00000152926"
"164","MRPL4","8T",1.97406093224711,"ENSG00000105364"
"165","KRTAP10-4","8T",3.14840362364619,"ENSG00000215454"
"166","FABP1","8T",3.9391801007065,"ENSG00000163586"
"167","TMEM243","8T",2.49430703197529,"ENSG00000135185"
"168","AKTIP","8T",2.04311710636729,"ENSG00000166971"
"169","XIAP","8T",2.08564895923158,"ENSG00000101966"
"170","HADH","8T",2.52280255438989,"ENSG00000138796"
"171","PTPRE","8T",2.07061620573297,"ENSG00000132334"
"172","KLF2","8T",3.22923907663944,"ENSG00000127528"
"173","CARD9","8T",2.37377066498999,"ENSG00000187796"
"174","NKX2-3","8T",2.90734340493796,"ENSG00000119919"
"175","PLPP2","8T",2.01812965660492,"ENSG00000141934"
"176","DTYMK","8T",2.14084603339823,"ENSG00000168393"
"177","SFXN1","8T",2.74798208116471,"ENSG00000164466"
"178","BCL9","8T",1.95196578765328,"ENSG00000116128"
"179","WNT3A","8T",2.05848400126615,"ENSG00000154342"
"180","SRP72","8T",2.67913601593089,"ENSG00000174780"
"181","ROGDI","8T",2.27988348032815,"ENSG00000067836"
"182","TNFAIP3","8T",2.06011163596848,"ENSG00000118503"
"183","CABLES2","8T",2.42416180968701,"ENSG00000149679"
"184","FAM92B","8T",2.47553755152295,NA
"185","ADORA2A","8T",1.97451089323015,"ENSG00000128271"
"186","SUV39H1","8T",2.38600758518242,"ENSG00000101945"
"187","MED12","8T",1.97092289523131,"ENSG00000184634"
"188","SHC2","8T",1.97480811733201,"ENSG00000129946"
"189","CCDC58","8T",2.09055773053231,NA
"190","NPIPB4","8T",2.05306314897675,"ENSG00000185864"
"191","UGT3A1","8T",3.23794941257608,"ENSG00000145626"
"192","AVP","8T",1.92473097446292,"ENSG00000101200"
"193","ALG12","8T",1.97121221958369,"ENSG00000182858"
"194","CLEC9A","8T",2.1441940105315,"ENSG00000197992"
"195","WDR75","8T",1.95732948353185,"ENSG00000115368"
"196","SPRYD3","8T",1.94802147187695,"ENSG00000167778"
"197","RIMBP3B","8T",2.16706407528479,"ENSG00000274600"
"198","KRT80","8T",1.94287553241319,"ENSG00000167767"
"199","KLF9","8T",1.94043387175426,"ENSG00000119138"
"200","STXBP3","8T",2.23969535214242,"ENSG00000116266"
"201","PAX5","B",7.1743895874996,"ENSG00000196092"
"202","MTHFD1L","B",9.36681419944861,"ENSG00000120254"
"203","EMC8","B",10.6154118986766,"ENSG00000131148"
"204","MGAT4A","B",7.01892841112407,"ENSG00000071073"
"205","HUS1","B",7.1513450645629,"ENSG00000136273"
"206","TEX29","B",7.33968685193221,"ENSG00000153495"
"207","ANKRD16","B",26.568164496877,"ENSG00000134461"
"208","ZNF333","B",13.0674080179461,"ENSG00000160961"
"209","RABL6","B",9.76558356965938,"ENSG00000196642"
"210","AGPAT2","B",41.9115075553404,"ENSG00000169692"
"211","PLEKHG3","B",24.4539877952437,"ENSG00000126822"
"212","USP28","B",9.1879431933142,"ENSG00000048028"
"213","RASGRP4","B",14.6657084178468,"ENSG00000171777"
"214","JUND","B",7.33923175808131,"ENSG00000130522"
"215","HS3ST1","B",7.2277345901139,"ENSG00000002587"
"216","RPL31","B",35.1869660955487,"ENSG00000071082"
"217","PRAME","B",12.3544758265542,"ENSG00000185686"
"218","SPATA22","B",7.05856178834198,"ENSG00000141255"
"219","AGR2","B",7.73181692214889,"ENSG00000106541"
